,OutcomeType,Age,Size,HasName,TimeofDay,WeekDay,IsIntact,Sex,PureMixedHybrid,Group,IsMixColor
4748,Adoption,0,0,Yes,lateday,Sunday,No,Female,Mixed,Toy,No
31356,Return to Owner,1,0,Yes,midday,Monday,No,Female,Mixed,Toy,Yes
12990,Return to Owner,1,1,Yes,lateday,Monday,Yes,Male,Hybrid,Sporting,No
27505,Adoption,0,2,No,lateday,Wednesday,No,Female,Mixed,Hound,Yes
20178,Return to Owner,1,0,No,midday,Monday,No,Female,Mixed,Toy,Yes
10909,Adoption,1,1,Yes,lateday,Monday,No,Male,Hybrid,Sporting,No
11466,Transfer,0,2,No,lateday,Sunday,No,Male,Mixed,Working,No
9847,Adoption,1,0,Yes,lateday,Saturday,No,Male,Mixed,Toy,No
15398,Return to Owner,1,0,Yes,midday,Sunday,No,Male,Hybrid,Terrier,No
633,Adoption,0,1,Yes,lateday,Sunday,No,Male,Mixed,PitBull,Yes
7375,Adoption,0,0,No,lateday,Monday,No,Male,Mixed,Terrier,Yes
13124,Adoption,0,0,Yes,lateday,Saturday,No,Male,Mixed,Toy,Yes
12958,Adoption,1,1,Yes,lateday,Saturday,No,Male,Mixed,PitBull,Yes
8382,Adoption,0,1,Yes,lateday,Saturday,No,Female,Mixed,Herding,Yes
26663,Adoption,0,0,No,midday,Thursday,No,Female,Mixed,Unknown,Yes
14422,Adoption,0,1,Yes,lateday,Thursday,No,Male,Mixed,Sporting,Yes
13249,Adoption,0,0,No,midday,Thursday,No,Female,Pure,Hound,Yes
31690,Return to Owner,1,1,Yes,midday,Monday,Yes,Female,Mixed,PitBull,Yes
2370,Adoption,0,2,Yes,lateday,Sunday,No,Female,Hybrid,Herding,No
29563,Return to Owner,0,1,Yes,midday,Tuesday,No,Female,Mixed,PitBull,Yes
28228,Transfer,1,0,Yes,midday,Monday,No,Female,Mixed,Toy,No
32141,Return to Owner,2,0,No,lateday,Thursday,Yes,Male,Mixed,Toy,No
23771,Return to Owner,1,1,Yes,midday,Tuesday,Yes,Male,Mixed,PitBull,Yes
32973,Return to Owner,2,1,Yes,lateday,Saturday,Yes,Male,Mixed,Sporting,No
22021,Transfer,0,0,No,midday,Sunday,Yes,Female,Mixed,Terrier,No
5080,Adoption,1,0,Yes,midday,Friday,No,Female,Mixed,Toy,Yes
32126,Return to Owner,0,1,Yes,night,Thursday,No,Male,Pure,Herding,Yes
17039,Return to Owner,0,1,Yes,midday,Sunday,No,Male,Mixed,Sporting,Yes
21270,Adoption,0,1,Yes,lateday,Sunday,No,Female,Mixed,Sporting,Yes
7660,Transfer,0,1,Yes,night,Thursday,No,Female,Hybrid,Sporting,Yes
2676,Return to Owner,1,1,Yes,lateday,Wednesday,No,Male,Pure,PitBull,No
17541,Adoption,1,1,Yes,midday,Saturday,No,Male,Mixed,Herding,Yes
16026,Adoption,1,0,Yes,midday,Sunday,No,Female,Pure,Toy,Yes
31180,Adoption,1,1,Yes,midday,Sunday,No,Male,Mixed,NonSporting,Yes
6677,Transfer,0,0,Yes,morning,Saturday,Yes,Female,Hybrid,Toy,No
10459,Adoption,1,1,Yes,midday,Saturday,No,Female,Mixed,PitBull,No
14442,Euthanasia,0,1,Yes,midday,Friday,No,Male,Mixed,PitBull,Yes
11620,Adoption,0,0,Yes,midday,Saturday,No,Male,Pure,Toy,Yes
8725,Transfer,0,1,No,lateday,Wednesday,Yes,Male,Pure,Herding,Yes
29797,Adoption,2,1,Yes,night,Friday,No,Male,Mixed,Herding,Yes
22889,Transfer,0,1,Yes,lateday,Thursday,Yes,Female,Mixed,PitBull,No
410,Transfer,1,1,Yes,midday,Monday,No,Male,Mixed,Sporting,No
2428,Adoption,0,1,Yes,midday,Tuesday,No,Female,Mixed,Sporting,Yes
3941,Adoption,1,2,No,lateday,Sunday,No,Male,Pure,Herding,Yes
24173,Adoption,1,0,Yes,lateday,Monday,No,Male,Hybrid,Hound,No
26123,Adoption,1,1,No,midday,Thursday,No,Male,Mixed,NonSporting,Yes
1420,Transfer,0,0,Yes,night,Sunday,No,Male,Mixed,Terrier,Yes
12687,Return to Owner,0,0,Yes,lateday,Thursday,No,Male,Mixed,Toy,Yes
8237,Adoption,0,1,Yes,lateday,Monday,No,Female,Hybrid,Terrier,Yes
15611,Transfer,0,1,Yes,midday,Sunday,No,Male,Mixed,PitBull,Yes
32044,Adoption,1,1,No,lateday,Sunday,No,Female,Mixed,NonSporting,No
22627,Adoption,1,1,Yes,lateday,Sunday,No,Female,Mixed,PitBull,No
26204,Return to Owner,0,1,Yes,midday,Sunday,No,Female,Mixed,Herding,Yes
15204,Transfer,0,3,Yes,lateday,Saturday,Yes,Male,Mixed,Working,No
9920,Transfer,1,0,No,lateday,Monday,Yes,Female,Mixed,Terrier,Yes
21070,Adoption,1,1,Yes,lateday,Sunday,No,Male,Hybrid,NonSporting,No
13768,Transfer,0,1,No,midday,Tuesday,Yes,Female,Mixed,Herding,Yes
16968,Return to Owner,0,1,Yes,lateday,Thursday,No,Male,Mixed,PitBull,Yes
